Time of Day	Process Name	PID	Operation	Path	Result	Detail
"15:52:11,0057712"	taskhostw.exe	15380	RegCloseKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	
"15:52:11,0058691"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_10EC&DEV_0269&SUBSYS_1179FC14&REV_1001\4&1EC0F511&0&0001	SUCCESS	"Desired Access: Query Value, Maximum Allowed"
"15:52:11,0058922"	taskhostw.exe	15380	RegQueryValue	HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_10EC&DEV_0269&SUBSYS_1179FC14&REV_1001\4&1ec0f511&0&0001\ConfigFlags	SUCCESS	"Type: REG_DWORD, Length: 4, Data: 0"
"15:52:11,0059153"	taskhostw.exe	15380	RegCloseKey	HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_10EC&DEV_0269&SUBSYS_1179FC14&REV_1001\4&1ec0f511&0&0001	SUCCESS	
"15:52:11,0059435"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	Desired Access: All Access
"15:52:11,0059645"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Properties	NAME NOT FOUND	Desired Access: Query Value
"15:52:11,0063900"	taskhostw.exe	15380	RegCloseKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	
"15:52:11,0064208"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	Desired Access: Query Value
"15:52:11,0064404"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\Properties	NAME NOT FOUND	Desired Access: Query Value
"15:52:11,0064584"	taskhostw.exe	15380	RegCloseKey	HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}	SUCCESS	
"15:52:11,0065751"	taskhostw.exe	15380	RegOpenKey	HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1002\5&120D8861&0&0001	SUCCESS	"Desired Access: Query Value, Maximum Allowed"
"15:52:11,0065952"	taskhostw.exe	15380	RegQueryValue	HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1002\5&120d8861&0&0001\ConfigFlags	SUCCESS	"Type: REG_DWORD, Length: 4, Data: 0"
"15:52:11,0066213"	taskhostw.exe	15380	RegCloseKey	HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_1002&DEV_AA01&SUBSYS_00AA0100&REV_1002\5&120d8861&0&0001	SUCCESS	
